X,Y
0,8.07086614173228
1,0.99403578528827
2,0.00000000000000
3,0.00000000000000
4,0.00000000000000
5,0.07974481658692
6,0.00000000000000
7,0.29325513196481
8,1.99501246882793
9,20.29250457038390
10,22.24489795918360
11,17.70682148040630
12,20.80419580419580
13,24.35483870967740
14,8.10429880197322
15,16.54135338345860
16,16.26139817629170
17,15.75456053067990
18,18.86051080550090
19,26.60377358490560
20,23.63977485928700
21,21.17647058823520
22,20.46979865771810
23,22.55244755244750
24,23.53982300884950
25,30.27522935779810
26,26.79509632224160
27,19.90811638591110
28,20.50000000000000
29,23.23008849557520
30,25.61174551386620
31,22.93274531422270
32,23.79032258064510
33,32.43014394580860
34,26.28099173553710