Weeks,PercentNotVuln
0,2.69814502529510
1,8.93939393939394
2,13.47517730496450
3,77.42946708463950
4,90.48569527611440
5,89.75708502024290
6,89.11290322580640
7,89.63696369636960
8,90.32496307237810
9,80.74179743223960
10,86.87561214495590
11,88.77434135166090
12,91.63636363636360
13,93.25058184639250
14,94.29559204840100
15,82.01492537313430
16,94.75197699496760
17,93.56533158240310
18,66.56076250992850
19,91.65413533834580
20,82.90030211480360
21,75.95473833097590
22,86.69849931787170
23,91.58249158249150
24,92.64810849393290
25,91.90992493744780
26,89.04859685147160
27,92.62240107310530
28,94.17199715707170
29,94.27480916030530
30,92.75882704967080
31,94.40847557386690
32,95.96647459402820
33,95.92570401437980
34,95.90792838874680
35,94.63015647226170
36,94.47021048876200
37,97.03511801957390
38,96.26436781609190